Mass Airflow Sensor Voltage (V),Engine Speed (rpm),Engine Load* (g/rev),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
4.2,4664,2.66,10
4.24,4746,2.67,10
4.28,4783,2.7,10
4.28,4838,2.72,10
4.32,4977,2.73,10
4.36,4993,2.73,10
4.36,5084,2.75,10
4.38,5154,2.74,10
4.4,5259,2.72,10
4.42,5308,2.72,10
4.42,5380,2.71,10
4.44,5470,2.69,10
3.86,3711,2.61,10
3.94,3770,2.64,10
3.94,3772,2.71,10
4.04,3860,2.84,10
4.04,3860,2.89,10
4.1,3949,2.91,10
4.1,3989,2.89,10
4.16,4041,2.89,10
4.14,4089,2.88,10
4.12,4132,2.87,10
4.14,4125,2.85,10
4.14,4183,2.82,10
4.14,4247,2.79,10
4.16,4296,2.75,10
4.14,4305,2.72,10
4.16,4358,2.73,10
4.16,4394,2.73,10
4.18,4412,2.73,10
4.18,4443,2.74,10
4.2,4475,2.74,10
4.22,4540,2.74,10
4.22,4584,2.75,10
4.22,4578,2.74,10
4.26,4629,2.74,10
4.28,4684,2.75,10
4.3,4714,2.78,10
4.3,4746,2.78,10
4.28,4774,2.78,10
4.34,4820,2.81,10
4.34,4860,2.81,10
4.34,4912,2.81,10
4.36,4940,2.8,10
4.38,4957,2.82,10
4.38,5003,2.81,10
4.38,5016,2.81,10
4.42,5078,2.8,10
4,3809,2.71,10
4.02,3846,2.83,10
4.12,3902,2.93,10
4.14,3896,2.97,10
4.1,3926,2.97,10
4.16,3956,2.95,10.2
4.16,3991,2.96,10
4.12,3972,2.96,10
4.18,4004,2.95,10
4.16,4026,2.94,10
4.16,4058,2.94,10
4.14,4074,2.93,10
4.14,4100,2.92,10
4.14,4120,2.91,10
4.16,4173,2.91,10
4.16,4190,2.89,10
4.16,4208,2.85,10
4.16,4218,2.84,10
4.16,4230,2.84,10
4.18,4261,2.82,10
4.14,4288,2.76,13.1
4.16,4332,2.75,13.6
4.22,4435,2.76,10
4.22,4459,2.77,10
4.22,4496,2.79,10
4.24,4542,2.81,10
4.26,4568,2.79,10
4.26,4618,2.79,10
4.28,4644,2.82,10
4.3,4664,2.82,10
4.3,4741,2.85,10.1
4.34,4789,2.85,10
4.34,4792,2.88,10
4.36,4838,2.88,10
4.36,4845,2.88,10
4.38,4876,2.87,10
4.38,4963,2.88,10
4.4,4980,2.9,10
4.42,5030,2.9,10
4.4,5033,2.89,10
4.44,5133,2.89,10
4.42,5133,2.88,10
4.44,5176,2.88,10
4.44,5237,2.86,10
4.46,5270,2.86,10
4.46,5315,2.85,10
4.48,5349,2.85,10
4.48,5372,2.84,10
4.48,5396,2.83,10
4.08,4107,2.72,10
4.08,4176,2.74,10
4.14,4206,2.81,10
4.18,4266,2.86,10
4.18,4308,2.81,10
4.2,4338,2.8,10
4.2,4420,2.79,10
4.2,4443,2.79,10
4.22,4464,2.8,10
4.24,4542,2.8,10
4.26,4551,2.82,10
4.28,4618,2.81,10
4.3,4641,2.84,10
4.32,4690,2.86,10
4.32,4746,2.86,10
4.32,4789,2.88,10
4.36,4823,2.9,10
4.36,4873,2.88,10
4.38,4914,2.89,10
4.38,4940,2.88,10
4.38,5020,2.89,10
4.42,5020,2.89,10
4.42,5071,2.9,10
4.42,5088,2.88,10
4.44,5151,2.87,10
4.44,5186,2.87,10
4.46,5241,2.87,10
4.46,5263,2.86,10
4.46,5315,2.84,10
4.46,5353,2.84,10
4.48,5407,2.83,10
4.48,5427,2.84,10
4.5,5482,2.81,10
4.5,5543,2.79,10
4.24,4467,2.82,10
4.24,4478,2.85,10
4.24,4454,2.85,10
4.24,4478,2.86,10
4.24,4529,2.86,10
4.24,4526,2.85,10
4.28,4562,2.86,10
4.26,4584,2.86,10
4.28,4593,2.86,10
4.28,4610,2.87,10
4.3,4635,2.85,10
4.2,4422,2.75,14.3
4.2,4573,2.74,14.9
4.2,4504,2.74,13.4
4.24,4472,2.77,10.4
4.28,4629,2.78,10
4.28,4752,2.79,10
4.32,4851,2.82,10
4.34,4921,2.82,10
4.38,5027,2.82,10
4.4,5084,2.84,10
4.42,5186,2.83,10
4.44,5282,2.81,10
4.44,5338,2.77,10
4.44,5415,2.77,10
4.46,5522,2.74,10
4.48,5614,2.74,10
